"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.780287500E-1,1.082411110E-1,1.374137282E0,9.678123474E0,9.775788633E0
4.804111460E-1,1.273939013E-1,1.364560843E0,9.711641312E0,9.807865847E0
4.827935410E-1,9.387651086E-2,1.369349122E0,9.730792999E0,9.827118714E0
4.851721350E-1,9.866471589E-2,1.383713722E0,9.721217155E0,9.819697621E0
4.875547910E-1,8.430013061E-2,1.364560843E0,9.692488670E0,9.788435494E0
4.899364580E-1,1.034529060E-1,1.335831761E0,9.687700272E0,9.779912349E0
4.923180210E-1,8.430013061E-2,1.350196242E0,9.692488670E0,9.786443329E0
4.947219270E-1,1.034529060E-1,1.378925562E0,9.716429710E0,9.814333626E0
4.970793230E-1,7.951192558E-2,1.354984522E0,9.678123474E0,9.772838850E0
4.994616660E-1,7.472373545E-2,1.345408201E0,9.682910919E0,9.776219655E0
5.018415620E-1,1.321820915E-1,1.359772801E0,9.678123474E0,9.774074286E0
5.042231770E-1,1.273939013E-1,1.350196242E0,9.721217155E0,9.815361536E0
5.066051560E-1,1.178174913E-1,1.345408201E0,9.740370750E0,9.833556149E0
5.089863540E-1,5.078274012E-2,1.345408201E0,9.692488670E0,9.785552552E0
5.113686460E-1,6.993553042E-2,1.378925562E0,9.673335075E0,9.771373402E0
5.137494270E-1,1.034529060E-1,1.364560843E0,9.706851959E0,9.802841616E0
5.161303120E-1,1.082411110E-1,1.350196242E0,9.730792999E0,9.824615943E0
5.185129680E-1,9.866471589E-2,1.340619922E0,9.721217155E0,9.813717924E0
5.208932290E-1,7.472373545E-2,1.388501883E0,9.668547630E0,9.768026126E0
5.232751040E-1,1.130293161E-1,1.378925562E0,9.663759232E0,9.762297569E0
5.256568750E-1,1.273939013E-1,1.364560843E0,9.706851959E0,9.803123505E0
5.280374480E-1,7.951192558E-2,1.378925562E0,9.721217155E0,9.818850281E0
