Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Manicoré,Amazonas,não,48315.023,46865,55751,0.97,1.15,0.582,9065.26,15 de maio de 1878
São Paulo de Olivença,Amazonas,não,19658.502,31257,39299,1.59,2.0,0.521,6186.16,31 de maio de 1882
Barreirinha,Amazonas,não,5751.765,27378,32041,4.76,5.57,0.574,7594.06,13 de maio de 1873
Tefé,Amazonas,não,23692.223,61362,59849,2.59,2.53,0.639,12008.83,15 de junho de 1855
Maués,Amazonas,não,39991.066,52388,63905,1.31,1.6,0.588,7376.44,25 de junho de 1833
Amaturá,Amazonas,não,4754.109,9460,11536,1.99,2.43,0.560,7186.35,24 de março de 1981
Manacapuru,Amazonas,não,7336.579,85251,97377,11.62,13.27,0.614,15811.37,27 de setembro de 1894
Itapiranga,Amazonas,não,4335.075,8410,9148,1.94,2.11,0.654,11789.20,29 de dezembro de 1956
Coari,Amazonas,não,57970.768,75941,85097,1.31,1.47,0.586,15580.35,2 de agosto de 1932
São Gabriel da Cachoeira,Amazonas,não,109181.245,38213,45564,0.35,0.42,0.609,7037.06,31 de março de 1938
Eirunepé,Amazonas,não,14966.242,30531,35273,2.04,2.36,0.563,12431.91,8 de setembro de 1895
Carauari,Amazonas,não,25778.658,25778,28294,1.00,1.1,0.549,10074.99,26 de setembro de 1911
Canutama,Amazonas,não,33642.732,14466,15629,0.43,0.46,0.530,6646.31,22 de outubro de 1891
Parintins,Amazonas,não,5956.047,102086,114273,17.14,19.19,0.658,9593.89,15 de outubro de 1852
Boca do Acre,Amazonas,não,21938.583,30714,34308,1.40,1.56,0.588,10668.30,22 de outubro de 1890
Manaus,Amazonas,sim,11401.092,1802056,2182763,158.06,191.45,0.737,34362.71,24 de outubro de 1669
Careiro da Várzea,Amazonas,não,2627.474,23883,30225,9.09,11.5,0.568,10730.33,30 de dezembro de 1987
Alvarães,Amazonas,não,5923.461,14097,16041,2.38,2.71,0.527,10000.80,10 de dezembro de 1981
